source,question,answer,,,,,
https://www.edureka.co/blog/interview-questions/python-interview-questions/amp/ ,What are Literals in Python and explain about different Literals,"A literal in python source code represents a fixed value for primitive data types. There are 5 types of literals in python- String literals– A string literal is created by assigning some text enclosed in single or double quotes to a variable. To create multiline literals, assign the multiline text enclosed in triple quotes. Eg.name=”Tanya” A character literal– It is created by assigning a single character enclosed in double quotes. Eg. a=’t’ Numeric literals– They include numeric values that can be either integer, floating point value, or a complex number. Eg. a=50 Boolean literals– These can be 2 values- either True or False. Literal Collections– These are of 4 types- a) List collections-Eg. a=[1,2,3,’Amit’] b) Tuple literals- Eg. a=(5,6,7,8) c) Dictionary literals- Eg. dict={1: ’apple’, 2: ’mango, 3: ’banana`’} d) Set literals- Eg. {“Tanya”, “Rohit”, “Mohan”} 6. Special literal- Python has 1 special literal None which is used to return a null variable.",,,,,
https://infoshareacademy.com/blog/2019/11/06/wielki-test-wiedzy-o-pythonie-cz-i/,"Jak poprawnie wypisać ""Hello world""?","print(""Hello world!"")",,,,,
https://www.edureka.co/blog/interview-questions/python-interview-questions/amp/,How to combine dataframes in pandas?,"The dataframes in python can be combined in the following ways-Concatenating them by stacking the 2 dataframes vertically. Concatenating them by stacking the 2 dataframes horizontally. Combining them on a common column. This is referred to as joining. The concat() function is used to concatenate two dataframes. Its syntax is- pd.concat([dataframe1, dataframe2]). Dataframes are joined together on a common column called a key. When we combine all the rows in dataframe it is union and the join used is outer join. While, when we combine the common rows or intersection, the join used is the inner join. Its syntax is- pd.concat([dataframe1, dataframe2], axis=’axis’, join=’type_of_join)

",,,,,
https://www.edureka.co/blog/interview-questions/python-interview-questions/amp/,What are the new features added in Python 3.9.0.0 version?,"The new features in Python 3.9.0.0 version are; New Dictionary functions Merge(|) and Update(|=) New String Methods to Remove Prefixes and Suffixes  Type Hinting Generics in Standard Collections New Parser based on PEG rather than LL1 New modules like zoneinfo and graphlib Improved Modules like ast, asyncio, etc. Optimizations such as optimized idiom for assignment, signal handling, optimized python built ins, etc. Deprecated functions and commands such as deprecated parser and symbol modules, deprecated functions, etc. Removal of erroneous methods, functions, etc.",,,,,
,"Która z poniższych komend przypisze do zmiennej result ciąg znaków ""Python""?",,,,,,
https://www.edureka.co/blog/interview-questions/python-interview-questions/amp/,What is namespace in Python?, A namespace is a naming system used to make sure that names are unique to avoid naming conflicts.,,,,,
https://www.edureka.co/blog/interview-questions/python-interview-questions/amp/,What is PYTHONPATH?,"It is an environment variable which is used when a module is imported. Whenever a module is imported, PYTHONPATH is also looked up to check for the presence of the imported modules in various directories. The interpreter uses it to determine which module to load.",,,,,
https://www.edureka.co/blog/interview-questions/python-interview-questions/amp/,What are python modules? Name some commonly used built-in modules in Python?,Python modules are files containing Python code. This code can either be functions classes or variables. A Python module is a .py file containing executable code. Some of the commonly used built-in modules are: os, sys, math, random, data time, JSON
https://www.edureka.co/blog/interview-questions/python-interview-questions/amp/,What are local variables and global variables in Python?,Global Variables: Variables declared outside a function or in global space are called global variables. These variables can be accessed by any function in the program. Local Variables: Any variable declared inside a function is known as a local variable. This variable is present in the local space and not in the global space.,,,,,
https://www.edureka.co/blog/interview-questions/python-interview-questions/amp/,Is python case sensitive?,Yes. Python is a case sensitive language.,,,,,
https://www.edureka.co/blog/interview-questions/python-interview-questions/amp//,What is type conversion in Python?,"Type conversion refers to the conversion of one data type into another. int() – converts any data type into integer type, float() – converts any data type into float type, ord() – converts characters into integer, hex() – converts integers to hexadecimal, oct() – converts integer to octal, tuple() – This function is used to convert to a tuple.set() – This function returns the type after converting to set. list() – This function is used to convert any data type to a list type. dict() – This function is used to convert a tuple of order (key, value) into a dictionary. str() – Used to convert integer into a string. complex(real,imag) – This function converts real numbers to complex(real,imag) number.",,,,,
https://www.edureka.co/blog/interview-questions/python-interview-questions/amp//,How to install Python on Windows and set path variable?,"To install Python on Windows, follow the below steps: Install python from this link: https://www.python.org/downloads/, After this, install it on your PC. Look for the location where PYTHON has been installed on your PC using the following command on your command prompt: cmd python.  Then go to advanced system settings and add a new variable and name it as PYTHON_NAME and paste the copied path. Look for the path variable, select its value and select ‘edit’. Add a semicolon towards the end of the value if it’s not present and then type %PYTHON_HOME% 

",,,,,
https://www.edureka.co/blog/interview-questions/python-interview-questions/amp//,Is indentation required in python?,"Indentation is necessary for Python. It specifies a block of code. All code within loops, classes, functions, etc is specified within an indented block. It is usually done using four space characters. If your code is not indented necessarily, it will not execute accurately and will throw errors as well.",,,,,
https://www.edureka.co/blog/interview-questions/python-interview-questions/amp/,What is the difference between Python Arrays and lists?,"Arrays and lists, in Python, have the same way of storing data. But, arrays can hold only a single data type elements whereas lists can hold any data type elements.",,,,,
https://www.edureka.co/blog/interview-questions/python-interview-questions/amp/,What are functions in Python?,"A function is a block of code which is executed only when it is called. To define a Python function, the def keyword is used.",,,,,
https://www.edureka.co/blog/interview-questions/python-interview-questions/amp/,What is __init__?,__init__ is a method or constructor in Python. This method is automatically called to allocate memory when a new object/ instance of a class is created. All classes have the __init__ method.,,,,,
https://www.edureka.co/blog/interview-questions/python-interview-questions/amp/,What is a lambda function?,"An anonymous function is known as a lambda function. This function can have any number of parameters but, can have just one statement.",,,,,
https://www.edureka.co/blog/interview-questions/python-interview-questions/amp/,What is self in Python?,"Self is an instance or an object of a class. In Python, this is explicitly included as the first parameter. However, this is not the case in Java where it’s optional. It helps to differentiate between the methods and attributes of a class with local variables. The self variable in the init method refers to the newly created object while in other methods, it refers to the object whose method was called.",,,,,
https://www.edureka.co/blog/interview-questions/python-interview-questions/amp/,"How does break, continue and pass work?","Break loop termination when some condition is met and the control is transferred to the next statement. Continue skipping some part of a loop when some specific condition is met and the control is transferred to the beginning of the loop Pass when you need some block of code syntactically, but you want to skip its execution. This is basically a null operation. Nothing happens when this is executed.",,,,,
https://www.edureka.co/blog/interview-questions/python-interview-questions/amp/,What does [::-1} do?,[::-1] is used to reverse the order of an array or a sequence.,,,,,
https://www.edureka.co/blog/interview-questions/python-interview-questions/amp/,How can you randomize the items of a list in place in Python?,Consider the example shown below:,,,,,
https://www.edureka.co/blog/interview-questions/python-interview-questions/amp/,What are python iterators?,Iterators are objects which can be traversed though or iterated upon.,,,,,
https://www.edureka.co/blog/interview-questions/python-interview-questions/amp/,How can you generate random numbers in Python?,Random module is the standard module that is used to generate a random number. The method is defined as:,,,,,
https://www.edureka.co/blog/interview-questions/python-interview-questions/amp/,What is the difference between range & xrange?,"For the most part, xrange and range are the exact same in terms of functionality. They both provide a way to generate a list of integers for you to use, however you please. The only difference is that range returns a Python list object and x range returns an xrange object. This means that xrange doesn’t actually generate a static list at run-time like range does. It creates the values as you need them with a special technique called yielding. This technique is used with a type of object known as generators. That means that if you have a really gigantic range you’d like to generate a list for, say one billion, xrange is the function to use. This is especially true if you have a really memory sensitive system such as a cell phone that you are working with, as range will use as much memory as it can to create your array of integers, which can result in a Memory Error and crash your program. It’s a memory hungry beast.",,,,,
https://www.edureka.co/blog/interview-questions/python-interview-questions/amp/,How do you write comments in python?,"Comments in Python start with a # character. However, alternatively at times, commenting is done using docstrings(strings enclosed within triple quotes).",,,,,
https://infoshareacademy.com/blog/2019/11/06/wielki-test-wiedzy-o-pythonie-cz-i/,"Która z poniższych komend przypisze do zmiennej result ciąg znaków ""Python""?","W Pythonie jednym ze sposobów na konkatenację stringów (inaczej łączenie ciągów znaków) jest wykorzystanie operatora +. Jest to możliwe, gdyż typ wbudowany str implementuje odpowiednie metody umożliwiając realizację operacji takich jak konkatenacja czy indeksowanie, za pomocą operatorów działających też na typach sekwencyjnych. Zapis tego typu jest bardzo czytelny, więc aby połączyć nowy ciąg znaków z istniejącą już wartością, zapisaną w zmiennej można skorzystać z operatora +=.Korzystając z + do konkatenacji stringów należy pamiętać o pewnych ograniczeniach, narzucanych przez charakterystykę tego typu. Typ str jest w Pythonie typem immutable. (zobacz: “Który z typów jest mutable?”). W kontekście operatora + czy też += powoduje to, że każde jego użycie utworzy nowy obiekt str. W większości typowych sytuacji nie będzie to problemem i zastosowanie operatora + będzie dobrym rozwiązaniem ze względu na jego wysoką czytelność. Jednak w sytuacji gdy łączymy ze sobą bardzo dużo ciągów znaków może to mieć negatywne konsekwencje wydajnościowe. W takim przypadku lepiej użyć metody join().
Poprawną odpowiedzią na pytanie jest:
result = ""Py"" + ""thon""
 ",,,,,
https://infoshareacademy.com/blog/2019/11/06/wielki-test-wiedzy-o-pythonie-cz-i/,Która z instrukcji nie wykonuje żadnej operacji?,"Poprawną odpowiedź to: pass
pass statement nie wykonuje żadnej operacji, więc można wykorzystać ją jako “wypełniacz” np. ciała funkcji, tworząc w ten sposób poprawną strukturalnie implementację:
def not_sure_about_it():
  pass
",,,,,
https://infoshareacademy.com/blog/2019/11/06/wielki-test-wiedzy-o-pythonie-cz-i/,Za pomocą jakiego słowa kluczowego definiujemy instrukcję warunkową?,"W Pythonie instrukcje warunkową zapisujemy zgodnie ze wzorcem:
if warunek_logiczny:
  kod, który wykona się gdy warunek logiczny jest spełniony (prawdziwy)
Po tym bloku może wystąpić dowolna liczba opcjonalnych bloków elif pozwalająca zapisać warunki alternatywne:
elif inny_warunek:
  kod który wykona się gdy żaden z poprzednich warunków nie był prawdziwy ale ten jest
elif jeszcze_inny_warunek:
  ...
Na końcu może wystąpić jeden opcjonalny blok else, pozwalający obsłużyć sytuację, w której żaden z poprzednich warunków nie był prawdziwy:
else:
  kod, który wykona się jeżeli żaden z poprzednich warunków nie spełnił się
Poprawną odpowiedzią jest zatem if.
",,,,,
https://infoshareacademy.com/blog/2019/11/06/wielki-test-wiedzy-o-pythonie-cz-i/,"Jak poprawnie zadeklarować funkcję o nazwie get_full_name, przyjmującą dwa argumenty: first_name i last_name?","W Pythonie funkcję deklaruje się używając słowa kluczowego def następnie podając nazwę funkcji (za pomocą tej nazwy możliwe jest odwołanie się do funkcji np. w celu jej wywołania). Następnie wewnątrz okrągłych nawiasów należy wypisać nazwy argumentów funkcji. Są one opcjonalne (tzn. funkcja może nie mieć w ogóle argumentów – wtedy nawiasy są puste wewnątrz: () ). Linię kończymy dwukropkiem, a od następnej rozpoczyna się definicja ciała funkcji (instrukcji, do wykonania w jej obrębie).
Regułą kciuka jest nie przekazywanie do funkcji zbyt wielu argumentów. Sytuacja, w której funkcja przyjmuje bardzo dużo argumentów sugeruje, że jej odpowiedzialność jest za duża i należy rozważyć podzielenie jej na kilka mniejszych.
Poprawną odpowiedzią jest:
def get_full_name(first_name, last_name):

",,,,,
https://www.knowledgehut.com/interview-questions/flask,"Flask is a micro framework, what does “micro” mean in this context?","The “micro” means Flask aims to keep the core features simple but extensible. It is classified as a micro web framework because it does not require particular tools or libraries. It does not mean that our whole web application has to fit into a single Python module, nor does it imply that Flask is lacking some functionality. Although, it does not support database abstraction layer, form validation, or any other pre-existing third-party tools. But it supports extensions to which we can add features to our applications.",,,,,
https://www.knowledgehut.com/interview-questions/flask,What are the core features available in Flask?,"Built-in web server and debugger
Integrated support for unit testing
Securing cookies in client-side sessions
Dispatching RESTful request
Web Server Gateway Interface(WSGI) compliance
Google App Engine compatibility
Unicode support
Extensions available to add features to our own applications",,,,,
https://www.knowledgehut.com/interview-questions/flask,Flask Python comes with all the advantages of Python. Some of them are listed down below:,"Flask is lightweight and modular. Therefore, we can easily transform it into web applications or frameworks when we need very few extensions without weighing too much.
The basic foundation of Flask API is very nicely shaped and made coherent.
Flask is ORM-agnostic which means the user can plug in their favorite ORM like SqlAlchemy.
Documentation of the Flask is very comprehensive, filled with lots of examples, and is well structured. Users can even try out some sample applications to really get the real feel of Flask.
It is very easy to deploy Flask in production as Flask comes with 100% WSGI 1.0 support.
Flask can handle HTTP requests easily with help of its functionalities.
It is highly flexible. Its configuration is even more flexible than that of Django, which gives its users plenty of solutions for every product they need.",,,,,
https://www.knowledgehut.com/interview-questions/flask,Which databases does Flask support?,"In Flask web applications, in order to manipulate databases, we can use SQL and Object Relational Mapping (ORM). An ORM makes writing SQL queries easier for a programmer, because it enables us to write queries in an object-oriented language, and then ORM automatically translates it to SQL and retrieves the result as an object. On the other hand, Flask-User makes use of DbAdapters to support different databases. It ships with an SQLDbAdapter to support a wide range of SQL databases via Flask-SQLAlchemy (Firebird, Microsoft SQL Server, MySQL, Oracle, PostgreSQL, SQLite, Sybase, and more). It ships with a MongoDbAdapter to support MongoDB databases via Flask-MongoEngine. Custom DbAdapters can be implemented to support other Databases.",,,,,
https://www.knowledgehut.com/interview-questions/flask,The fundamental difference between Flask and Django.,"Flask
Flask is a Python web framework built for rapid development
Beginners are likely to find Flask more straightforward and convenient
Flask is a lightweight framework that gives abundant features without external libraries and minimalist features
Flask provides support for API
Flask does not support dynamic HTML pages
Flask is a WSGI framework
Flask offers a diversified working style
Django
Django is built for easy and simple projects
Django is a high-level Python Framework- when compared to Flask, it comes with a slightly steeper learning curve. Experienced developers might enjoy working with Django and understand its architecture and conventions are better
Django is a full-stack web framework that enables ready-to-use solutions with its batteries-included approach
Django doesn’t have any support for API
Django offers dynamic HTML pages
Django is a Full Stack Web Framework
Django offers a Monolithic working style",,,,,
https://www.knowledgehut.com/interview-questions/flask,What is the use of jsonify() in Flask?,"One of the functions in the flask.json module is jsonify(). It converts data to JSON format and encapsulates it in a Response object with the application/JSON mime-type. It's worth noting that jsonify is occasionally imported directly from the flask module rather than the flask itself. In other words, jsonify() is a Flask assist method for appropriately returning JSON data. jsonify() provides a Response object with the application/JSON mime-type set, whereas json.dumps() only returns a JSON data string. This could have unforeseen consequences.",,,,,
https://www.knowledgehut.com/interview-questions/flask,What are Flask-WTF and what are their features?,"In Flask, WTF stands for WT Forms, which is used to give the user an interactive user interface. The WTF is a flask built-in module that allows for a different way of constructing forms in flask web apps. WTForms may be easily integrated with Flask-WTF. Features included for Flask WTF are:
    Integration with WTForms
    Internationalization integration
    Secure form with CSRF token
    Recaptcha supporting
    Global CSRF protection
    File upload that works with Flask Uploads",,,,,
https://www.knowledgehut.com/interview-questions/flask,What is the difference between flask and flask RESTful? How do we create a REST API using a flask?,"Flask is a Flask addon that allows us to easily create APIs with a clean interface structure. It's an agile, quick, and lightweight abstraction that works with existing ORMs and frameworks.
If we understand the basics of Flask, we should find Flask-RESTful to be a simple idea to grasp. To create a REST API, we have to do the following steps:
    Import the modules and start up the program
    Creating the REST API endpoints
    Write methods to read and write data in the CSV file
    Test the endpoints using Postman",,,,,
https://www.knowledgehut.com/interview-questions/flask,How to use a session in Flask?,"Flask-Session is a Flask extension that adds server-side session functionality to your application. The Session is the period of time between when a client logs in and logs off of a server. The data that must be saved in the session is saved on the server in a temporary directory. We can utilize session objects in Flask whenever we need to save a large quantity of data between queries. The session object can be used to set and obtain data, as demonstrated below -

from flask import Flask, session
 
app = Flask(__name__)
 
@app.route('/use_session')
def use_session()
    if 'song' not in session:
        session['songs'] = {'title': Perfect, 'singer': 'Ed Sheeran'}
 
    return session.get('songs')
 
@app.route('/delete_session')
def delete_session()
    session.pop('song', None)
    return ""removed song from session""",,,,,
https://www.knowledgehut.com/interview-questions/flask,What is the g object in Flask? How does it differ from the session  object?,"g is a global namespace that can be used to store any data during a single app context. A before request handler, for example, may set g.user, which the route and other functions will have access to. In the flask, on the other hand, a session object, which is a dictionary object that holds a key-value pair of the session variables and their associated values, is used to track the session data. To set the session variable to a specified value on the server, use the following syntax. We can use the session to save data for a specific browser. When a user of our Flask app makes more queries while using the same browser, the session data is carried over.",,,,,
https://www.knowledgehut.com/interview-questions/flask,How to add the mailing feature in the Flask Application?,"To send emails, run the following command to install the Flask-Mail flask extension:

pip install Flask-Mail

Next, we'll need to configure the Flask Config API to set up MAIL_SERVER, MAIL_PORT, MAIL_USERNAME, MAIL_PASSWORD, and so on. Then we must import the Message Class, instantiate it, and create a message object before using the mail.send() function to send the email.

The following is an example:

from flask_mail import Mail, Message
from flask import Flask
 
app = Flask(__name__)
mail = Mail(app)
 
@app.route(""/mail"")
def email():
    msg = Message( ""Hello Message"", sender=""admin@test.com"", recipients=[""to@test.com""])
   mail.send(msg)",,,,,
https://www.knowledgehut.com/interview-questions/flask,What HTTP methods are available in Flask?,"POST, GET, PUT, and DELETE are the most regularly used HTTP methods. These methods relate to the CRUD (create, read, update, and delete) activities. To retrieve data from a URL, HTTP techniques are utilized. The available methods are given below:

    GET: The GET is the method that sends data to the server unencrypted.
    HEAD:  HEAD is similar to GET, but it has no response body.
    POST: The POST server does not cache the HTML form data that it sends
    PUT: It is the method in which the uploaded content replaces current data representations of the target resources.
    DELETE: This method removes the current representations of the target resource that is suggested by a URL.",,,,,
https://www.knowledgehut.com/interview-questions/flask,How can we request database connections in Flask?,"Flask framework allows its users to request databases in three ways. They are as follows:
    before_request(): These connections are called before making a request and no arguments are passed.
    after_request(): These connections are called after making a request and a response is passed that will be sent to the client.
    teardown_request(): These connections are called in a situation where an exception is raised and the response is not sure to get. They are also called after the construction of response. These are not allowed to change the request, and their values can be ignored.",,,,,
https://www.knowledgehut.com/interview-questions/flask,How do we access sessions in Flask? Is it an MVC model?,"Flask-Session is a Flask extension that adds server-side session functionality to our application. In Flask Python, a session is a feature that allows you to remember information from one request to the next. A signed cookie is used in a flask program so that the user can inspect and edit the contents of the session. The user can additionally change the sessions if and only if it has the secret key named Flask.secret_key. Flask is a tiny Python framework that works similarly to the MVC framework. As a result, MVC is the ideal choice for Flask.",,,,,
https://www.knowledgehut.com/interview-questions/flask,How do memory is managed in the Flask application?,"Memory allocation is managed by the Flask Python memory management. In addition, there is an inbuilt garbage collector that recycles all unneeded memory to free up heap space. All objects and data structures are held together in Flask Python by a collection of private heap spaces. It is inaccessible to programmers. It is the interpreter's job to keep track of everything. Users can, however, access some of the tools through the core API. Its allocation is managed by the Flask Python memory management. In addition, there is an inbuilt garbage collector that recycles all unneeded memory to free up heap space.",,,,,
https://www.knowledgehut.com/interview-questions/flask,What Is A Thread-local Object In Flask?,"Internally, Flask uses thread-local objects so that users do not have to transmit objects from function to function within a request to stay thread-safe. This method is beneficial, but it necessitates a proper request context for dependency injection or reusing code that uses a request-specific variable.",,,,,
https://www.knowledgehut.com/interview-questions/flask,Explain the validators class of WTForms in Flask?,"A validator simply takes an input, checks that it meets some criteria, such as a string length limit, and then returns. If the validation fails, a ValidationError is raised. This method is quite straightforward and adaptable, allowing you to link any number of validators onto fields. In Flask, the validators class of WTForm are listed below:
    DataRequired: To check whether the input field is empty.
    Email: To check whether the text in the field follows email ID conventions.
    IPAddress: To validate IP address in input field.
    Length: To verify if the length of the string in the input field is in the given range.
    NumberRange: To validate a number in input field within given range.
    URL: To validate URL entered in input field.
",,,,,
https://www.knowledgehut.com/interview-questions/flask,How to get a visitor IP address in Flask?,"request.remote_addr is used to get visitor IP address in Flask. Here is an example:

from flask import request
from flask import jsonify
 
@app.route(""/get_user_ip"", methods=[""GET""])
def get_user_ip():
    return jsonify({'ip': request.remote_addr}), 200",,,,,
https://www.knowledgehut.com/interview-questions/flask,How to handle application Errors in Flask?,"When our application launches, for various reasons applications and servers may fail. It is very common to face exceptions in the production build. Sometimes our codebase is completely ok, although it can throw exceptions. You may be wondering, why does that happen? Some reasons behind server errors are given below:
    If the client canceled the request early and the application is still running and it reading data from the server
    If the database is overloaded with tons of queries
    Hard drive on the server may crash
    Filesystem on the server is full
    Backend server may crash
    Network connection of the server may fail
    Logical error in our program

That's just a small sample of the problems we could face. So, how do we deal with such a situation? If our application is running in production mode and an exception occurs, Flask will show us a very plain page and log the exception to the logger by default.",,,,,
https://www.knowledgehut.com/interview-questions/flask,Describe Flask Error Handlers.,"In the Flask application, when an error occurs, an HTTP status code will be returned. If the HTTP status code is between 400-499, that means the error occurs on the client-side data request. On the other hand, if the HTTP status code is between 500-599, then it means the error occurs on the server-side application.

When an error occurs with an HTTP status code, we can show custom error pages to the user with the help of error handlers. It can return responses when a certain type of error is occurred, which is similar to a function view that returns a response when the request URL is similar. It passes the object to handle the error, in most cases, it is an HTTPException.

Another thing to note is that the response's HTTP status code is not set to the error handler's code. When returning a response from the error handler, we must make sure to include that.",,,,,
https://www.knowledgehut.com/interview-questions/flask,How to deploy the Python Flask app on Heroku?,"To deploy the python flask app on Heroku, follow the procedures outlined below:

Create a virtual environment with pipenv and install Flask and Gunicorn by running the command -  $ pipenv install
Create a “Procfile” and write the following code - $ touch Procfile flask gunicorn
Create “runtime.txt” and write the following code - $ touch runtime.txt
Create a folder named “app” and enter the folder - $ mkdir app, $ cd app
Create a python file, “main.py” and enter the sample code - $ touch main.py
Get back to the previous directory “eflask”.Create a file“wsgi.py” and insert the following code - $ cd ../ , $ touch wsgi.py
Run the virtual environment - $ pipenv shell
Initialize an empty repo, add the files in the repo and commit all the changes - $ git init, $ git add
$ git commit -m ""Initial Commit""
Login to heroku CLI using - heroku login
Now, Create a unique name for your Web app - $ heroku create eflask-app
Push your code from local to the heroku remote - $ git push heroku main",,,,,
https://www.knowledgehut.com/interview-questions/flask,How to upload files in the Flask application?,"Flask makes it simple to manage uploaded files. Just remember to include the enctype=""multipart/form-data"" tag in your HTML form, or the browser will refuse to send your files. Uploaded files are kept in memory or on the filesystem in a temporary place. You may get to those files by looking at the request object's files attribute. Each file that is uploaded is saved in that dictionary. It has the same behavior as a typical Python file object, but it additionally provides a save() method that allows you to save the file to the server's filesystem. Here's a simple example to demonstrate how it works:
from flask import request[Text Wrapping Break][Text Wrapping Break]@app.route('/upload', methods=['GET', 'POST'])[Text Wrapping Break]def upload_file():[Text Wrapping Break]    if request.method == 'POST':[Text Wrapping Break]        f = request.files['the_file'][Text Wrapping Break]        f.save('/var/www/uploads/uploaded_file.txt')

The filename attribute can be used to determine how the file was named on the client before it was uploaded to your application. However, keep in mind that its value might be faked, so don't put your faith in it. If you wish to utilize the client's filename to store the file on the server, you can use the secure filename() function that Werkzeug provides:
from werkzeug.utils import secure_filename[Text Wrapping Break][Text Wrapping Break]@app.route('/upload', methods=['GET', 'POST'])[Text Wrapping Break]def upload_file():[Text Wrapping Break]    if request.method == 'POST':[Text Wrapping Break]        file = request.files['the_file'][Text Wrapping Break]        file.save(f""/var/www/uploads/{secure_filename(file.filename)}"")",,,,,
https://www.knowledgehut.com/interview-questions/flask,Explain Logging in Flask.,"You can find yourself in a position where you're dealing with data that should be correct but isn't. For example, you might have some client-side code that sends a faulty HTTP request to the server. This could be due to tampering with the data by a user or a bug in the client code. In most cases, responding with 400 Bad Request is sufficient, but this isn't always the case, and the code must continue to function.

You might still wish to note that something unusual occurred. Loggers come in handy in this situation. With Flask 0.3, you can utilize a logger that has been preconfigured for you.

The following are some examples of log calls:
app.logger.debug('A value for debugging')[Text Wrapping Break]app.logger.warning('A warning occurred (%d apples)', 42)[Text Wrapping Break]app.logger.error('An error occurred')",,,,,
https://www.knowledgehut.com/interview-questions/flask,What is HTML Escaping in Flask?,"To protect against injection attacks, any user-provided values rendered in the output must be enclosed when returning HTML (the default response type in Flask). This will be done automatically using HTML templates produced with Jinja.

The escape() function, which is seen below, can be used manually. Most examples remove it for brevity's sake, but you should constantly be conscious of how you're employing untrustworthy data.

from markupsafe import escape[Text Wrapping Break][Text Wrapping Break]@app.route(""/<name>"")[Text Wrapping Break]def hello(name):[Text Wrapping Break]    return f""Hello, {escape(name)}!""

If a user enters the name <script>alert(""bad"")</script>, it is rendered as text rather than running the script in the user's browser due to escaping.",,,,,
https://www.knowledgehut.com/interview-questions/flask,Explain the url_for() function and why would you want to hard-code URLs into your templates instead of utilizing the URL reversing function url_for()?,"We use the url_for() function to create a URL for a given function. It takes the function's name as the first parameter, as well as any number of keyword arguments, each of which corresponds to a variable component of the URL rule. As query parameters, unknown variable bits are appended to the URL.

    When compared to hard-coding URLs, reversing is typically more descriptive.
    Instead of remembering to manually change hard-coded URLs, you can modify all of your URLs at once.
    The escaping of special characters is handled transparently during URL creation.
    The routes generated are always absolute, avoiding unexpected behavior in browsers due to relative paths.
    If your application is in a directory other than the URL root, such as /myapplication instead of /, url_for() will take care of it",,,,,
https://www.knowledgehut.com/interview-questions/flask,Describe the difference between Blueprints and Views in the Flask application?,"Blueprints: A Blueprint is a method of organizing a collection of related views and other code. Instead of registering views and other code with an application directly, they are registered with a blueprint. When the blueprint is available in the factory function, it is then registered with the application. Flask will have two blueprints, one for authentication and the other for blog postings. Each blueprint's code will be kept in its own module.

Views: The code you write to reply to queries to your application is known as a view function. Flask matches the incoming request URL to the view that should handle it using patterns. Flask converts the data returned by the view into an outgoing response. Flask may also generate a URL for a view depending on its name and arguments in the other direction.",,,,,
